City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
555,Shakiso,ET,56.89,overcast clouds,5.75,38.9167,DH international Hotel
556,Sayan,PE,66.99,overcast clouds,-11.1361,-77.1933,Hotel Restaurant Vanessa
558,Novo Oriente,BR,70.5,clear sky,-5.5344,-40.7742,Jardins do sertão hotel
559,Pitimbu,BR,73.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
560,San Quintin,MX,69.51,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
561,Iquique,CL,59.04,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
563,Razgrad,BG,57.06,clear sky,43.5333,26.5167,Interrum
564,Tyup,KG,70.81,clear sky,42.7276,78.3648,"Yurtochnyy Gorodok ""Ybrayym-Nur"""
566,San Isidro,PE,61.02,mist,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
569,Mwingi,KE,62.6,overcast clouds,-0.9344,38.0601,Thorn Tree by The Address
570,Cartaya,ES,69.3,clear sky,37.2811,-7.1507,Hotel La Barca
571,Verkhovazhye,RU,54.9,light rain,60.7472,42.0465,Guest house Uyut on Gagarina 4А
572,Bolshoy Lug,RU,59.18,light rain,52.0779,104.0919,Metallurg
575,Yar-Sale,RU,61.61,overcast clouds,66.8333,70.8333,Yalemd
579,Siavonga,ZM,58.69,clear sky,-16.5382,28.7088,Lavongora Waterfront Lodge
582,Ayagoz,KZ,71.64,clear sky,47.9714,80.4392,ХАН
589,Saurimo,AO,55.99,clear sky,-9.6608,20.3916,Hotel Kawissa Saurimo
591,College,US,64.99,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
592,Vikhorevka,RU,63.99,overcast clouds,56.1201,101.1636,Pansionat Sosnovyye Rodniki
595,Bay Roberts,CA,65.14,overcast clouds,47.5999,-53.2648,Stonewall Inn
596,Juneau,US,58.21,overcast clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
598,Dawson Creek,CA,73.04,few clouds,55.7666,-120.2362,Peace Villa Motel
599,Roald,NO,57.76,overcast clouds,62.5833,6.1333,Flem Cabins
600,Camopi,GF,71.71,broken clouds,3.1655,-52.3158,La pousada
602,Schleiden,DE,69.08,clear sky,50.5295,6.477,Gemünder Ferienpark Salzberg
603,Itacarambi,BR,69.4,broken clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
604,Opuwo,,53.98,clear sky,-18.0607,13.84,ABBA Guesthouse
605,Gayeri,BF,73.54,overcast clouds,12.6497,0.4931,
607,Katav-Ivanovsk,RU,68.04,broken clouds,54.7531,58.1956,Guest House U Zigalgi
609,Bongor,TD,72.97,broken clouds,10.2806,15.3722,Oryx Palace
610,Iturama,BR,71.56,overcast clouds,-19.7281,-50.1956,República DominaCana
612,Bojnurd,IR,71.55,clear sky,37.4747,57.329,Hotel negin bojnourd
613,Vardo,NO,58.98,overcast clouds,70.3705,31.1107,Vardø Hotel AS
614,Monki,PL,57.67,overcast clouds,53.405,22.7979,Zajazd Mońki
615,Correntina,BR,69.4,broken clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
616,Mount Isa,AU,74.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
617,Vastseliina,EE,52.56,overcast clouds,57.7303,27.2932,Kotkapesa
618,Altay,CN,66.51,clear sky,47.8667,88.1167,Jinqiao Hotel
625,Kenai,US,65.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
626,Lulea,SE,50.07,scattered clouds,65.5842,22.1547,Comfort Hotel Arctic
629,Bolshaya Rechka,RU,59.27,light rain,51.9503,104.7355,Hotel Beliy ruchey
630,Karasjok,NO,51.8,overcast clouds,69.4719,25.5112,Karasjok camping AS
631,Kabale,UG,60.39,overcast clouds,-1.2486,29.9899,Kings Hotel Kabale
632,Abadiania,BR,65.32,clear sky,-16.2042,-48.7069,Pousada Lírio D'Água
634,Mizan Teferi,ET,58.46,overcast clouds,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
636,Micheweni,TZ,73.33,broken clouds,-4.9667,39.8333,
638,Flin Flon,CA,71.55,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
641,Batouri,CM,66.51,overcast clouds,4.4333,14.3667,Hotel Hollywood
642,Moissala,TD,69.03,overcast clouds,8.3404,17.7663,
643,Beloha,MG,60.04,clear sky,-25.1667,45.05,
648,Kribi,CM,74.84,light rain,2.95,9.9167,Hotel Tara Plage
649,Winder,US,74.41,overcast clouds,33.9926,-83.7202,Jameson Inn Winder
650,Puerto Del Rosario,ES,71.35,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
651,Harper,LR,74.1,light rain,4.375,-7.7169,Screensaver
657,Lloydminster,CA,71.82,broken clouds,53.2835,-110.0016,BCMInns - Lloydminster
658,Margate,GB,73.69,clear sky,51.3813,1.3862,Premier Inn Margate hotel
663,Kdyne,CZ,60.76,scattered clouds,49.3908,13.0397,Autokemp Hájovna Kdyně
664,Faya,SA,66.72,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
665,Lyuban,BY,56.53,overcast clouds,52.7985,28.0048,"Gostinitsa ""Oressa"""
666,Camana,PE,61.57,overcast clouds,-16.6228,-72.7111,Hostal Morales
670,North Bend,US,72.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
671,Imeni Poliny Osipenko,RU,55.96,light rain,52.4201,136.4853,Yubileynaya
673,Tonj,SS,68.81,overcast clouds,7.2737,28.6822,Lakan Hotel
674,Dubbo,AU,53.73,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
